k_value,model,accuracy,classification_report
avg_k,MLP,0.8214285714285714,"              precision    recall  f1-score   support

           0       0.76      1.00      0.86        16
           1       1.00      0.58      0.74        12

    accuracy                           0.82        28
   macro avg       0.88      0.79      0.80        28
weighted avg       0.86      0.82      0.81        28
"
avg_k,Neural Network,0.8214285714285714,"              precision    recall  f1-score   support

           0       0.76      1.00      0.86        16
           1       1.00      0.58      0.74        12

    accuracy                           0.82        28
   macro avg       0.88      0.79      0.80        28
weighted avg       0.86      0.82      0.81        28
"
sqrt_n,KNN,0.5714285714285714,"              precision    recall  f1-score   support

           0       0.61      0.69      0.65        16
           1       0.50      0.42      0.45        12

    accuracy                           0.57        28
   macro avg       0.56      0.55      0.55        28
weighted avg       0.56      0.57      0.56        28
"
sqrt_n,Logistic Regression,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.72      0.81      0.76        16
           1       0.70      0.58      0.64        12

    accuracy                           0.71        28
   macro avg       0.71      0.70      0.70        28
weighted avg       0.71      0.71      0.71        28
"
sqrt_n,SVM,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.73      1.00      0.84        16
           1       1.00      0.50      0.67        12

    accuracy                           0.79        28
   macro avg       0.86      0.75      0.75        28
weighted avg       0.84      0.79      0.77        28
"
sqrt_n,Decision Tree,0.75,"              precision    recall  f1-score   support

           0       0.74      0.88      0.80        16
           1       0.78      0.58      0.67        12

    accuracy                           0.75        28
   macro avg       0.76      0.73      0.73        28
weighted avg       0.75      0.75      0.74        28
"
sqrt_n,Random Forest,0.75,"              precision    recall  f1-score   support

           0       0.71      0.94      0.81        16
           1       0.86      0.50      0.63        12

    accuracy                           0.75        28
   macro avg       0.79      0.72      0.72        28
weighted avg       0.78      0.75      0.73        28
"
sqrt_n,MLP,0.8214285714285714,"              precision    recall  f1-score   support

           0       0.76      1.00      0.86        16
           1       1.00      0.58      0.74        12

    accuracy                           0.82        28
   macro avg       0.88      0.79      0.80        28
weighted avg       0.86      0.82      0.81        28
"
sqrt_n,Neural Network,0.8214285714285714,"              precision    recall  f1-score   support

           0       0.76      1.00      0.86        16
           1       1.00      0.58      0.74        12

    accuracy                           0.82        28
   macro avg       0.88      0.79      0.80        28
weighted avg       0.86      0.82      0.81        28
"
log_n,KNN,0.6428571428571429,"              precision    recall  f1-score   support

           0       0.67      0.75      0.71        16
           1       0.60      0.50      0.55        12

    accuracy                           0.64        28
   macro avg       0.63      0.62      0.63        28
weighted avg       0.64      0.64      0.64        28
"
log_n,Logistic Regression,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.73      1.00      0.84        16
           1       1.00      0.50      0.67        12

    accuracy                           0.79        28
   macro avg       0.86      0.75      0.75        28
weighted avg       0.84      0.79      0.77        28
"
log_n,SVM,0.8571428571428571,"              precision    recall  f1-score   support

           0       0.80      1.00      0.89        16
           1       1.00      0.67      0.80        12

    accuracy                           0.86        28
   macro avg       0.90      0.83      0.84        28
weighted avg       0.89      0.86      0.85        28
"
log_n,Decision Tree,0.6785714285714286,"              precision    recall  f1-score   support

           0       0.73      0.69      0.71        16
           1       0.62      0.67      0.64        12

    accuracy                           0.68        28
   macro avg       0.67      0.68      0.67        28
weighted avg       0.68      0.68      0.68        28
"
log_n,Random Forest,0.6785714285714286,"              precision    recall  f1-score   support

           0       0.68      0.81      0.74        16
           1       0.67      0.50      0.57        12

    accuracy                           0.68        28
   macro avg       0.68      0.66      0.66        28
weighted avg       0.68      0.68      0.67        28
"
log_n,MLP,0.8928571428571429,"              precision    recall  f1-score   support

           0       0.84      1.00      0.91        16
           1       1.00      0.75      0.86        12

    accuracy                           0.89        28
   macro avg       0.92      0.88      0.89        28
weighted avg       0.91      0.89      0.89        28
"
log_n,Neural Network,0.8214285714285714,"              precision    recall  f1-score   support

           0       0.76      1.00      0.86        16
           1       1.00      0.58      0.74        12

    accuracy                           0.82        28
   macro avg       0.88      0.79      0.80        28
weighted avg       0.86      0.82      0.81        28
"
sqrt_n/2,KNN,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.72      0.81      0.76        16
           1       0.70      0.58      0.64        12

    accuracy                           0.71        28
   macro avg       0.71      0.70      0.70        28
weighted avg       0.71      0.71      0.71        28
"
sqrt_n/2,Logistic Regression,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.73      1.00      0.84        16
           1       1.00      0.50      0.67        12

    accuracy                           0.79        28
   macro avg       0.86      0.75      0.75        28
weighted avg       0.84      0.79      0.77        28
"
sqrt_n/2,SVM,0.8214285714285714,"              precision    recall  f1-score   support

           0       0.76      1.00      0.86        16
           1       1.00      0.58      0.74        12

    accuracy                           0.82        28
   macro avg       0.88      0.79      0.80        28
weighted avg       0.86      0.82      0.81        28
"
sqrt_n/2,Decision Tree,0.6785714285714286,"              precision    recall  f1-score   support

           0       0.67      0.88      0.76        16
           1       0.71      0.42      0.53        12

    accuracy                           0.68        28
   macro avg       0.69      0.65      0.64        28
weighted avg       0.69      0.68      0.66        28
"
sqrt_n/2,Random Forest,0.6785714285714286,"              precision    recall  f1-score   support

           0       0.68      0.81      0.74        16
           1       0.67      0.50      0.57        12

    accuracy                           0.68        28
   macro avg       0.68      0.66      0.66        28
weighted avg       0.68      0.68      0.67        28
"
sqrt_n/2,MLP,0.8214285714285714,"              precision    recall  f1-score   support

           0       0.76      1.00      0.86        16
           1       1.00      0.58      0.74        12

    accuracy                           0.82        28
   macro avg       0.88      0.79      0.80        28
weighted avg       0.86      0.82      0.81        28
"
sqrt_n/2,Neural Network,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.73      1.00      0.84        16
           1       1.00      0.50      0.67        12

    accuracy                           0.79        28
   macro avg       0.86      0.75      0.75        28
weighted avg       0.84      0.79      0.77        28
"
